experiment,model_key,model_alias,feature_policy,split,evaluation_scope,feature_count,auc,pr_auc_average_precision,top1pct_hits,top1pct_recall,top5pct_hits,top5pct_recall
v2_no_customer_type,model0_rule_v2_no_customer_type_strategy_A,规则基线,删除 customer_type,valid,strategy_A_eligible,,0.23711649860544948,0.0038877616717043484,0,0.0,0,0.0
v2_no_customer_type,model0_rule_v2_no_customer_type_strategy_A,规则基线,删除 customer_type,test,strategy_A_eligible,,0.22109075305728385,0.003858648435085986,0,0.0,0,0.0
v2_no_customer_type,model0_rule_v2_no_customer_type_strategy_A,规则基线,删除 customer_type,valid_all_accounts,all_accounts,,0.2276916078026349,0.003638832407575408,0,0.0,0,0.0
v2_no_customer_type,model0_rule_v2_no_customer_type_strategy_A,规则基线,删除 customer_type,test_all_accounts,all_accounts,,0.20828645727670092,0.003538668569339961,0,0.0,0,0.0
v2_no_customer_type,model1_xgb_stat_v2_no_customer_type_strategy_A,XGB 统计特征,删除 customer_type,valid,strategy_A_eligible,117,0.9742887792319245,0.30845317808254724,28,0.4745762711864407,56,0.9491525423728814
v2_no_customer_type,model1_xgb_stat_v2_no_customer_type_strategy_A,XGB 统计特征,删除 customer_type,test,strategy_A_eligible,117,0.9873778159193306,0.3571313558279721,31,0.5254237288135594,58,0.9830508474576272
v2_no_customer_type,model1_xgb_stat_v2_no_customer_type_strategy_A,XGB 统计特征,删除 customer_type,valid_all_accounts,all_accounts,117,0.9690418226640355,0.2450567061147543,27,0.4576271186440678,56,0.9491525423728814
v2_no_customer_type,model1_xgb_stat_v2_no_customer_type_strategy_A,XGB 统计特征,删除 customer_type,test_all_accounts,all_accounts,117,0.9833290299576425,0.27556030086251965,28,0.4745762711864407,58,0.9830508474576272
v2_no_customer_type,model2_xgb_stat_graph_v2_no_customer_type_strategy_A,XGB 统计+图特征,删除 customer_type,valid,strategy_A_eligible,203,0.9761561896588715,0.33222256917939375,31,0.5254237288135594,56,0.9491525423728814
v2_no_customer_type,model2_xgb_stat_graph_v2_no_customer_type_strategy_A,XGB 统计+图特征,删除 customer_type,test,strategy_A_eligible,203,0.9894511907316027,0.3781091158386718,32,0.5423728813559322,58,0.9830508474576272
v2_no_customer_type,model2_xgb_stat_graph_v2_no_customer_type_strategy_A,XGB 统计+图特征,删除 customer_type,valid_all_accounts,all_accounts,203,0.9708477035343009,0.2567631265917881,26,0.4406779661016949,56,0.9491525423728814
v2_no_customer_type,model2_xgb_stat_graph_v2_no_customer_type_strategy_A,XGB 统计+图特征,删除 customer_type,test_all_accounts,all_accounts,203,0.985529899239532,0.29053293947648773,27,0.4576271186440678,57,0.9661016949152542
v2_no_customer_type,model25_xgb_stat_graph_node2vec_v2_no_customer_type_strategy_A,XGB 统计+图+Node2Vec,删除 customer_type,valid,strategy_A_eligible,211,0.8470079382106844,0.026218637201440364,1,0.01694915254237288,17,0.288135593220339
